stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Muscle_cell,T_cell
21Day,0,1.34,0,0,0,0,0,0,0
3Month,0,0.64,0.32,4.16,0.96,4.48,2.24,0.32,2.88
22Month,0.55,0,0,5.47,0,9.29,1.09,0.55,0
