stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,14.72,0,2.68,0,0,1.34,0
3Month,0.32,0,2.56,5.44,0,0,0.32,1.6,1.28,0,0,279,2.88,0,19.84,1.28,1.28,1.6,1.6,0,3.2,4.16,0,0.32,0.32,0.32,0,16.96,3.2,0,0.32,0.64,4.16,0.96
22Month,0,3.28,1.09,5.47,0.55,0,2.19,0.55,3.28,1.64,0,721.58,3.28,0.55,11.48,0,0,1.64,3.83,14.76,1.09,1.09,0.55,0,0,1.09,0.55,3.83,1.64,0.55,0.55,0,0,2.73
