stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,3.21,4.28,0,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,0,12.05,0,0,0,0,0,0,0,0,1.34,4.02,0,2.68,0,1.34,0,0,1.34,0,0,0,1.34,1.34,0,1.34,0,0,0
3Month,0.32,0.32,0.96,38.39,0.32,0.32,4.48,0.64,0,3.84,0.96,26.24,3.2,6.08,0.64,1.92,0.32,2.24,2.88,0.64,0,1.6,0.32,0,0.96,11.2,0.32,0,1.92,18.24,0.64
22Month,0,0,2.73,10.93,0,0,3.28,1.09,1.64,21.32,0.55,16.4,1.09,2.19,1.64,1.09,0,2.19,0,0,0,2.73,0,0,0,1.09,0.55,0,0.55,0,1.09
