stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,40.86,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,6.42,33.16,0,0,0,0,3.21,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,4.02,2.68,0,0,0,0,0,0,0,0,0,0,32.12,2.68,0,1.34,1.34,0,0,0,0,9.37,1.34,0,0,0,2.68,0,0,4.02,0,1.34,2.68,0,0,0
3Month,0.32,2.24,1.92,43.19,0,7.04,0.32,0,11.84,8,0,0,93.43,13.76,1.28,1788.2,3.2,13.44,8,9.6,1.92,0,2.56,26.24,1.28,0,3.84,3.84,0,0.64,13.76,0.32,31.04,0.64,0,1.28,1.6,7.36,8.64
22Month,0,4.92,5.47,16.4,0,0,0.55,0.55,14.21,12.03,4.92,0,719.94,1.64,0,1332.2,0,1.09,4.92,22.41,0,12.03,2.19,1.64,1.09,0,4.37,4.92,4.92,0,3.83,0,27.33,1.09,0.55,0,0.55,0,3.28
