stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,8.17,0,12.26,0,0,0
72hpf,0,0,0,1.07,6.42,3.21,0,0,0
21Day,0,0,0,1.34,2.68,0,2.68,0,0
3Month,0,0,0.32,0.32,0,0,0,0.32,0.32
22Month,0.55,2.19,0,0,0,0,0,0,0.55
