stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,8.17,0,57.21,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0,23.68,0.32,0.64,0.64,0.32,0,2.88,0.32,0.32,8.64,8,0.64,0.32,0.32,0.32,0,1.92,0,8.32,1.92,1.28,0,0.32,2.24,0.32,7.36,0.32
22Month,0.55,0.55,0.55,9.29,0.55,0,1.09,2.19,1.09,17.49,0.55,0,5.47,0.55,1.64,1.09,0.55,0,0.55,0,0,4.92,0,2.19,0,0,0,0.55,0,1.64
