stage,Epithelial_cell,Immune_cell,Immune_progenitor_cell,Macrophage,Neural_cell,T_cell
21Day,1.34,0,2.68,0,1.34,6.69
3Month,0,0.32,0,0.32,0,0
22Month,0,0.55,0,0,0,2.19
