stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,12.26,0
72hpf,2.14,0,0,0,0,0,1.07,0
21Day,2.68,0,0,0,0,2.68,0,0
3Month,0.64,0,0.32,0.32,0.32,1.28,0,0
22Month,0,0.55,2.73,0,0,0.55,0,1.09
