stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,8.17,102.16,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,0,0,0,0,0,0,1.07,9.63,0,6.42,0,1.07,2.14,7.49,0,1.07,0,0,2.14,0,1.07,0,0
21Day,0,13.39,0,0,0,0,0,2.68,1.34,0,4.02,2.68,4.02,0,0,2.68,1.34,0,2.68,0,0,4.02,0,0,0,0
3Month,0,0.96,0,0.64,0,0,6.4,0,0.96,0,0.32,0.96,0,0,0,0,0,0,0,0.32,0.32,0,0,0,0.32,0.32
22Month,0.55,2.19,0.55,0.55,0.55,2.19,40.45,1.64,10.93,0,1.09,3.83,5.47,1.09,0,0,0,0.55,0,0,0,0,0.55,0,0,0
