stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,25.67,0,0,0,0,0,0,1.07,6.42,0,1.07,0,1.07,16.05,7.49,0,0,0,0,0,4.28,0,0,0,0
21Day,1.34,0,0,2.68,4.02,0,0,0,0,0,0,2.68,1.34,0,2.68,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0.64,33.59,6.72,0.96,0.96,3.2,16,4.8,6.4,16.64,3.84,1.92,3.84,0.32,3.2,12.8,0,1.92,0.96,0,2.24,7.36,0,0.32,0.32,848.83,1.6
22Month,0.55,0,0.55,17.49,1.09,0.55,0,1.09,6.01,0.55,1.09,1.64,0,0,1.64,0,1.09,0.55,0,0.55,0,0.55,0.55,9.29,0,0,0,3.83,0
