stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,28.6,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,163.46,0,0,0,0,8.17,118.51,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,10.7,2.14,27.81,2.14,2.14,0,0,0,0,0,0,0,1.07,0,6.42,42.79,4.28,235.35,0,1.07,2.14,0,57.77,43.86,0,0,347.68,0,1.07,7.49,0,0,29.95,0,0,0
21Day,6.69,0,6.69,1.34,5.35,0,0,0,0,0,1.34,0,1.34,4.02,4.02,12.05,1.34,381.48,0,0,0,0,12.05,9.37,0,1.34,208.81,5.35,2.68,2.68,1.34,2.68,1.34,0,0,0
3Month,0,0,11.2,0,0,0.64,11.84,0.64,3.84,0,8.64,1.6,0.32,2.88,0.96,5.44,1.92,42.55,2.56,0,0.32,1.92,1.6,0.32,0.64,0,0,0.96,94.07,2.88,0,0,1.92,0.32,9.92,1.6
22Month,0,2.19,4.92,0,0,1.09,2.73,0,3.83,0.55,28.97,0.55,1.64,2.73,0.55,1.09,4.37,19.13,0.55,0.55,0,0.55,0,0.55,1.09,0,0,1.09,50.29,14.76,0,0,0.55,0.55,0,1.09
