stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,12.26,4.09,0,0,0,0,0,0,0,0,0,4.09,0,40.86,20.43,0,0,0,0,4.09,20.43,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,1.07,0,1.07,0,7.49,0,0,0,8.56,0,0,1.07,1.07,0,0,0,0,0,5.35,7.49,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,4.02,1.34,0,9.37,10.71,0,0,0,17.4,0,2.68,1.34,112.44,1.34,0,12.05,6.69,13.39,0,0,2.68,0,10.71,2.68,0,0,0,2.68,6.69,0,1.34,2.68,2.68,1.34,1.34,0,108.42
3Month,0.32,1.6,0.64,8,0,0.64,0,1.92,55.99,0,10.88,93.11,5.76,4.16,0.64,3.2,14.4,3.52,0.32,0,0.64,1.28,0.32,0,0.64,0.32,0,0.32,2.24,1.28,6.08,0,0,0,0.96,4.48,149.42
22Month,0.55,0.55,0.55,2.19,0,2.73,0.55,0,139.94,0.55,31.16,42.09,8.2,4.92,0,0,24.05,4.37,0,1.64,1.09,0,0.55,0,1.09,0,0.55,0,1.09,0,8.75,0,0.55,0,0,0,77.62
