stage,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,T_cell
72hpf,0,0,1.07,0,1.07,1.07,0,0,0
21Day,0,0,0,0,0,0,0,1.34,6.69
3Month,0.32,0,0,0.32,0,0,0,0,5.12
22Month,11.48,0.55,0,0,0,0,0.55,0,2.19
