stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,20.43,0,0
72hpf,0,0,0,0,0,1.07,0,2.14,2.14,2.14,0
21Day,1.34,0,1.34,0,0,0,1.34,0,0,0,1.34
3Month,0,0,0,0.32,0.32,0,0,0,0,0,0
