stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,4.09,0,0,0,0,0,0,0,12.26,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,0,0,1.34,0,1.34,0,0,0
3Month,0,0,0,0,0.32,0,0.32,0,0,0,0.64
22Month,0,0.55,0,0.55,5.47,0,1.09,0,0.55,0,0
