stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,53.12,0,0,4.09,0,0,0,0,0,0,0
72hpf,67.4,0,0,5.35,2.14,4.28,0,0,1.07,0,0,0,1.07,0,2.14,1.07,0,7.49,0,1.07,1.07,24.61,18.19,0,0,10.7,0,0,4.28,1.07,0,0,0
21Day,65.59,1.34,0,14.72,0,6.69,1.34,0,0,0,0,0,1.34,1.34,0,5.35,2.68,6.69,0,0,0,4.02,4.02,2.68,1.34,1.34,0,0,1.34,1.34,0,0,6.69
3Month,1.28,1.28,0,16.64,0,0,0.32,2.24,0.96,0,3.2,0.96,0.32,2.24,0.32,0.64,1.92,0.32,0.64,1.6,0.64,0.96,0,0.96,0,0,0,2.24,0,0,0.64,1.92,3.2
22Month,0,0.55,0.55,9.84,0,0,0,10.39,6.01,1.64,21.32,0.55,0,4.92,0.55,0,0,0.55,0,2.73,0,1.64,0,1.09,0,0,0.55,1.09,1.09,0,0,0,3.83
