stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,118.51,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,1.07,0,11.77,0,2.14,0,0,25.67,38.51,0,11.77,0,0,3.21,0,0,0,0
21Day,5.35,0,0,6.69,1.34,0,4.02,0,0,0,0,0,0,0,0,1.34,0,13.39,0,0,5.35,0,10.71,10.71,0,4.02,0,1.34,4.02,1.34,0,0,0
3Month,0.64,0,0.32,7.36,0,0.64,0.32,0,0.64,0,54.07,2.56,0,2.56,0.64,5.12,3.2,7.04,0.96,0.32,1.6,0.96,0.96,0.32,0.64,0.64,1.92,15.04,0.96,0,0.32,1.6,1.6
22Month,0.55,1.09,0.55,8.2,0,0,0,1.09,5.47,0.55,190.24,2.19,2.73,10.39,0.55,1.64,2.19,8.75,1.09,2.19,0,0,2.19,0,1.09,0,0,1.09,1.64,0,0.55,0,1.64
