stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,65.38,0,0,0,0,0,0,0,4.09,0,0
72hpf,13.91,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,0,5.35,27.81,0,0,7.49,0,1.07,4.28,8.56,1.07,0,0
21Day,22.76,1.34,0,1.34,0,0,0,0,0,0,1.34,1.34,0,18.74,0,0,6.69,0,6.69,10.71,0,0,5.35,1.34,0,0,6.69,0,0,0
3Month,0,6.72,0,2.56,2.56,0.64,0,4.48,0.32,0.64,0,1.6,0.64,7.68,1.92,0,0.32,0.32,0.96,0,0,0,1.6,3.52,0,0,0,0,2.56,0.32
22Month,0.55,41,1.64,3.83,1.09,4.37,20.23,168.92,2.19,3.83,0.55,1.64,2.73,27.88,0,2.73,0,0,1.64,0.55,0.55,1.09,1.09,1.09,1.09,1.64,0,0,0.55,0.55
