stage,Endothelial_cell,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Neural_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,5.35,0,0
21Day,0,1.34,0,0,0,1.34,1.34,0
3Month,0.32,0,0,0.32,1.28,0.32,0,0
22Month,0,0,0.55,0,0,0,0,0.55
