stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,18.19,0,0,0,0,0,0,0,0,1.07,1.07,0,0,3.21,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,36.14,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,2.68,2.68,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.96,12.8,52.47,0.64,0.32,1.92,2.24,0.32,11.52,3.84,0.64,168.93,1.28,144.62,2.88,5.44,0,0,0.64,0,0.32,11.2,0.32,0,0,4.8,5.76,0,0,0.32,2.56,3.52
22Month,2.19,3.83,28.97,15.85,2.73,0,12.57,3.83,4.37,54.67,1.09,0,915.65,1.09,49.2,3.83,10.93,1.09,3.28,1.09,0,0,11.48,1.64,161.81,0,1.64,3.83,1.64,0.55,0,0,3.28
