stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0
3Month,0.32,10.24,0.32,0.96,0.32,0.32,6.08,0,0.96,0,0,0.32,0.32
22Month,0,0,0,0.55,0.55,0,0,0.55,0,0.55,0,0,0
