stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,1.07,0,4.28,0,0,0,0,0,0,0,22.47,0,2.14,0,0,0,0,0,0,0,0
21Day,9.37,22.76,12.05,4.02,4.02,1.34,4.02,1.34,8.03,1.34,108.42,4.02,30.79,14.72,1.34,6.69,4.02,5.35,5.35,1.34,1.34
