stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,39.58,9.63,0,81.3,109.12,106.98,5.35,2.14,0,0,1.07,0,125.17,97.35,7.49,1971.63,0,2.14,1.07,1.07,560.57,248.19,0,1.07,108.05,1.07,0,46,20.33,2.14,8.56,0,0,0
21Day,54.88,9.37,2.68,148.58,2.68,132.51,10.71,5.35,30.79,2.68,49.53,16.06,9.37,87,34.8,440.38,1.34,0,24.09,0,188.73,78.97,2.68,2.68,82.99,34.8,4.02,16.06,8.03,18.74,5.35,0,0,42.83
3Month,0,0.96,0,0,0,0,0,0.64,0.96,0,0,0.64,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.32,0.96,0
22Month,0,0.55,0,0.55,0,0,0,0,3.83,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,10.39,0,0,0,0,0,0,0
