stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,637.48,118.51,0,805.02,32.69,12.26,0,0,0,4.09,0,73.56,4.09,0,0,0,69.47,89.9,118.51,1793.93,0,0,0,12.26,478.11,19439.03,0,0,0,265.62,4.09,0,4.09,0,0,61.3,0,0,0
72hpf,525.27,75.96,0,353.03,58.84,78.09,5.35,0,0,1.07,0,0,0,0,7.49,0,167.96,301.68,17.12,1351.15,0,37.44,35.3,5.35,1794.04,4772.34,12.84,29.95,0,1000.25,14.98,1.07,542.38,16.05,5.35,60.98,0,0,0
21Day,431.01,26.77,10.71,851.31,24.09,107.08,60.23,0,2.68,9.37,1.34,0,40.16,4.02,426.99,30.79,76.3,136.53,45.51,1228.77,0,4.02,123.15,2.68,519.35,1844.5,10.71,33.46,0,369.44,105.74,61.57,220.86,22.76,38.82,17.4,1.34,1.34,42.83
3Month,3.2,8.96,0.96,95.66,1.6,0,0.64,0.32,8,3.84,0.96,0,88.31,4.8,4.8,25.92,5.44,27.52,6.08,52.47,9.28,0.32,5.76,7.36,1.28,3.84,1.6,3.84,0,2.56,5.76,304.59,1.28,0,0,0.96,9.92,113.26,27.2
22Month,0,13.67,1.64,41.55,0,0,2.73,0,3.28,6.01,12.57,0,151.42,4.92,5.47,28.97,1.09,2.19,12.57,43.19,1.64,2.73,3.83,0.55,1.09,2.73,0.55,4.37,1.64,1.64,0.55,60.13,3.28,4.37,0,2.73,2.73,0.55,5.47
