stage,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,0
72hpf,0,0,1.07,2.14,1.07
21Day,1.34,0,1.34,0,1.34
