stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,2.14,2.14,0,0,0,0,0,0,0,0,0,12.84,1.07,6.42,0,0,0,0,12.84,20.33,0,0,6.42,0,0,9.63,0,0,2.14,0,0,0
21Day,4.02,1.34,0,10.71,1.34,0,0,0,0,2.68,0,1.34,0,0,4.02,5.35,12.05,0,0,4.02,0,12.05,12.05,0,0,5.35,1.34,0,0,1.34,2.68,2.68,1.34,0,0
3Month,0.32,3.52,0.32,28.16,0.64,0.32,2.56,3.52,0,23.68,3.52,0.32,2.56,1.28,4.48,2.24,5.76,1.92,0,2.56,0.32,0.64,0.32,0.64,0.32,0.64,0.64,1.6,0,0,0,0,0.96,25.28,1.28
22Month,0,4.37,0.55,6.56,1.09,0.55,2.73,9.29,10.39,191.88,3.83,0.55,3.28,0,2.73,8.75,3.83,0.55,3.83,1.09,0,1.09,0,0.55,1.09,0,0.55,2.73,1.09,0,0,0,0,0,0.55
