stage,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,4.09,0,0
72hpf,0,0,0,1.07,0
21Day,0,0,0,0,1.34
3Month,0.32,0.32,0,0,0
22Month,1.64,0,0,0,0
