stage,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,0,4.09,20.43,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,1.07
21Day,1.34,1.34,1.34,0,0,1.34,1.34,0,1.34
