stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,20.43,0,0,0,4.09,0,0,0,0,4.09,28.6,20.43,53.12,0,0,8.17,384.12,0,0,0,12.26,0,0,0
72hpf,2.14,2.14,4.28,0,0,0,0,0,0,0,0,1.07,6.42,0,10.7,0,4.28,19.26,28.88,1.07,1.07,0,8.56,0,3.21,0
21Day,1.34,0,5.35,0,0,0,0,0,0,0,0,0,0,1.34,12.05,0,0,1.34,4.02,0,0,0,4.02,0,1.34,0
3Month,0,0,0.32,0,0,0,0,0,0,0.32,0.64,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,4.37,1.09,1.09,0.55,0,21.32,0.55,0.55,12.03,0,0.55,0,5.47,1.64,0.55,0,0,0.55,0,1.09,0,4.37,0,0.55
