stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,36.78,12.26,0,0,0,0,85.81,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,2.14,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,0,65.26,9.63,1.07,0,2.14,0,0,4.28,1.07,0,0,0
21Day,1.34,0,0,12.05,6.69,1.34,0,0,0,0,0,0,0,0,2.68,4.02,1.34,0,0,0,0,17.4,2.68,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,92.15,0.96,0,0.96,0.96,0,0,11.84,2.88,5.12,5.12,0.96,11.84,3.2,0.32,0,2.56,5.12,14.72,0.64,0.64,0.32,0,1.92,16.32,0.32,0.32,0.96,5.12,0.64
22Month,0,0.55,0.55,34.44,0,0,0,1.64,0.55,0,19.68,0,4.92,0,1.09,12.03,1.09,0,1.09,0.55,1.64,3.83,0,0,0,0,0,8.2,1.09,0,0.55,0,0
