stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,73.56,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,8.56,0,0,3.21,0,3.21,0,0,0,0,0,0,0,0,0,0,0,2.14,5.35,8.56,0,0,1.07,78.09,14.98,0,0,9.63,0,0,1.07,0,0,0,0,0
21Day,5.35,0,0,9.37,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,2.68,2.68,24.09,0,0,2.68,25.43,4.02,0,1.34,9.37,1.34,0,0,0,2.68,0,0,0
3Month,0,6.72,0.96,10.56,0,0,0.64,0.32,0.64,0.96,1.92,0,74.55,0.64,0,3.84,0.64,4.8,7.04,13.76,2.24,0,1.6,0.96,0,1.28,0.32,0.64,1.6,2.56,0.64,0.64,0,5.44,1.28,1.6
22Month,0,14.76,0.55,4.92,0.55,0,0,0.55,0,0.55,8.2,4.37,96.21,0.55,0.55,13.67,0.55,0.55,13.67,14.21,0,3.28,1.64,1.09,0,1.64,1.64,0,0,0.55,1.64,0,0,1.64,0,0
