stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.23,0,2.14,0,1.07,4.28,0,12.84,0,0,0,0,0,0,0,0
21Day,16.06,1.34,2.68,38.82,1.34,8.03,0,4.02,0,1.34,0,1.34,0,2.68,2.68,2.68,13.39,6.69,736.19,0,207.47,0,16.06,9.37,0,8.03,18.74,0,0,1.34,2.68,0,0,2.68
3Month,2.24,10.88,0.32,23.36,0.32,0,2.24,0,0.64,4.48,0.64,9.28,3.52,0.64,4.16,0.64,13.12,2.56,372.1,1.6,46.07,0.96,0,0.32,0,2.56,2.88,3.2,0.96,0,0,1.6,1.28,5.76
22Month,0,2.19,0.55,4.37,0,0,0,0,0,5.47,0.55,7.65,1.09,0,1.64,0,1.09,0,75.98,1.09,6.01,0,0,0,1.09,0,0,0,0,0,0,0,0,0.55
