stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1863.4,0,0,61.3,0,0,0,0,0,0,0,0,0,4.09,12.26,4.09,4.09,8.17,0,0,0,8.17,93.99,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,6960.06,10.7,0,48.14,14.98,46,1.07,0,0,3.21,1.07,0,2.14,0,54.56,94.14,6.42,104.84,9.63,5.35,1.07,408.66,187.21,0,5.35,85.58,3.21,0,32.09,3.21,11.77,4.28,0,0,0
21Day,1567.42,0,1.34,84.33,1.34,29.45,8.03,0,0,1.34,12.05,1.34,2.68,8.03,4.02,30.79,9.37,93.7,1.34,9.37,0,57.56,40.16,4.02,1.34,58.9,25.43,5.35,6.69,6.69,2.68,5.35,1.34,0,8.03
3Month,371.78,2.56,0.32,32.63,0.96,0,0.32,0,0.96,1.92,14.72,8.96,0.32,5.12,1.28,5.76,2.88,6.4,0,0.64,0.64,2.24,0.64,19.52,0.32,0,4.16,54.07,0.64,0.32,0,0,5.12,17.6,3.84
22Month,40.45,1.09,0,11.48,0.55,0,0,1.09,3.83,4.92,19.13,0.55,0,0,0.55,0,2.19,5.47,0.55,0,0,0,0,14.76,0.55,0,0,4.37,0,0,0,0,0,0.55,0
