stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,1.07,0,0,1.07,2.14,4.28,0,0,0,4.28,3.21,0,1.07,3.21,0,0,25.67,0,0,0
21Day,0,5.35,4.02,1.34,1.34,0,0,0,0,0,2.68,0,0,0,2.68,1.34,0,0,0,0,1.34,0,0,4.02,0,1.34,6.69,0,0,6.69
3Month,0.32,2.24,28.8,0,0,0.32,2.24,0,7.04,1.6,0,1.92,0,3.52,3.2,1.6,0.96,0,0.32,0.64,0,0.32,0.32,0,0.64,20.8,0,5.12,3.52,92.47
22Month,0,0,6.56,0,0,0,6.01,1.09,1.64,0,0,0,0.55,0.55,5.47,1.09,0,0.55,0,0,0,0,0,0,0,4.37,0,0,0,11.48
