stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3171.05,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,0,32.69,0,0,8.17,106.25,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2766.48,5.35,0,18.19,0,19.26,1.07,0,1.07,0,0,0,0,0,4.28,37.44,4.28,47.07,4.28,0,355.17,93.07,0,6.42,35.3,1.07,0,25.67,2.14,2.14,11.77,0,0,0
21Day,1495.14,6.69,1.34,73.62,1.34,26.77,1.34,0,1.34,0,9.37,0,17.4,6.69,4.02,26.77,8.03,61.57,9.37,0,112.44,20.08,1.34,2.68,17.4,17.4,0,1.34,4.02,13.39,6.69,0,0,1.34
3Month,53.11,0.32,0,15.04,0,0,0,0.32,1.28,0.32,3.84,3.84,0,1.92,0.32,3.2,0.96,8,20.8,0.32,2.24,0,1.28,0.32,0,0,18.88,0.64,0,0,0,0.32,1.6,1.6
22Month,9.84,0.55,0,2.73,0,0,0,0,0.55,0,5.47,1.64,0.55,0.55,0,1.09,1.64,1.64,19.13,0,1.09,0,1.09,1.09,0,0,41.55,0.55,0.55,0,0,0,0,1.09
