stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,6.42,3.21,0,0,0,0,0,0,0,0,0,2.14,13.91,0,2.14,0,0,1.07,3.21,4.28,0,0,1.07,1.07,1.07,2.14,0,1.07,0,0
21Day,1.34,0,1.34,87,4.02,0,1.34,0,0,0,0,0,2.68,0,6.69,41.49,0,10.71,0,1.34,0,4.02,4.02,0,0,2.68,1.34,1.34,5.35,2.68,2.68,0,0
3Month,0,0.64,0,18.56,0,0.64,0,0.64,0.32,0,6.08,0.64,0,1.6,0.32,10.88,0.32,4.16,0,0.64,0.96,0.64,0,0.64,0,0,0.32,1.28,0,0,0.32,0.96,0.32
22Month,0,0.55,0,7.11,0,0,0,0.55,0,0.55,9.84,0.55,0,2.19,0,2.19,0.55,3.28,1.64,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0.55,0
