stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,1.07,0,2.14,13.91,3.21,0,0,4.28,0,0,1.07,2.14,0,0,0
21Day,0,1.34,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,20.08,0,0,0,5.35,1.34,2.68,0,0,16.06,1.34,0,4.02,0,0,0,0
3Month,0.32,5.76,4.8,12.8,0,0,0.64,0.32,2.56,2.24,0,27.84,3.84,0,177.89,0.32,2.24,0.96,18.24,5.12,0,0.96,281.88,0.96,0,0.64,0,0.96,1.92,7.68,0.96,0.64,0.64,1.6,3.2
22Month,0,2.19,2.19,12.03,0.55,0,0,0,1.09,1.64,0.55,144.32,1.09,0.55,39.36,0.55,0,1.09,9.84,0,3.83,1.09,28.97,0,0,0,0.55,0,0,9.84,5.47,0,0.55,0,1.09
