stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0
3Month,0.32,0,0.96,0.64,0,0.96,0.32
22Month,0,1.09,7.11,1.64,0,0,0
