stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,12.26,0,0
72hpf,1.07,0,0,0,1.07,0,1.07,2.14,0,1.07
21Day,6.69,0,1.34,0,0,1.34,1.34,0,1.34,0
3Month,0,0,0,0.96,0,0,0,0,0,0
22Month,0,1.09,0,3.83,0,1.09,0,0,0,0
