stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,0,0,2.14,0,0,2.14,1.07,0,0,0,0,0
21Day,0,4.02,0,5.35,0,0,0,2.68,24.09,0,0,2.68,8.03,1.34,0,1.34,0,5.35,0,0,0,57.56
3Month,0.64,2.56,0,0,0.32,0.32,0.64,0.96,0,1.92,0,0.32,0,0.64,0.64,0.32,0,0,1.6,0.64,1.6,56.31
22Month,0.55,0.55,0,0,0,0,2.73,0.55,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,8.2
