stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,8.17,118.51,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,3.21,0,3.21,0,0,0,0,0,0,0,2.14,0,8.56,0,0,9.63,47.07,1.07,2.14,0,0,2.14,0,1.07,0,0,0
21Day,2.68,0,0,2.68,1.34,1.34,0,0,0,1.34,0,0,0,2.68,0,9.37,0,0,5.35,17.4,0,4.02,1.34,0,2.68,0,1.34,0,0,1.34
3Month,0,0.32,0.32,1.92,0,0,0,0.32,0,22.4,0,1.28,0.32,0,0.64,2.24,0.64,0,0,0.32,0,0,0.64,2.56,0.32,0,0,0.32,0.64,0.32
22Month,0,1.09,0,1.09,0,0,0.55,0,0.55,40.45,0.55,0,0,0,0.55,1.64,0,1.09,0,0,0,0.55,0,0.55,0.55,1.09,0,0,0,0
