stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,4.09,4.09,0,69.47,0
72hpf,0,0,0,1.07,2.14,0,0,3.21,6.42,2.14
21Day,2.68,0,0,0,2.68,0,1.34,0,0,0
3Month,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0,0,0,0,0,0,0
