stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,12.26,0,4.09,0,0,0,4.09,16.35,0,0,0,0,0,0
72hpf,0,0,0,8.56,0,2.14,0,0,0,0,0,0,0,2.14,16.05,0,0,0,0,0,32.09,7.49,0,3.21,0,1.07,0,0
21Day,2.68,0,1.34,10.71,2.68,0,0,0,0,0,0,0,0,5.35,12.05,1.34,1.34,0,0,0,12.05,1.34,0,0,1.34,0,0,0
3Month,0.32,0.32,0.64,29.76,0.32,0,0.64,3.2,0,3.84,0.32,0.32,6.08,11.2,2.88,1.6,0.96,0,9.92,0.32,1.92,0,0.32,0.32,1.28,0,0.96,0.64
22Month,0,0.55,1.09,3.28,0,0,0,3.28,0,14.76,0.55,0,7.65,2.19,0.55,2.73,0,0.55,2.19,0,1.09,0,0,0,1.09,0.55,0,0.55
