stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,1.07,10.7,0,0,1.07,2.14,0
21Day,0,0,0,1.34,2.68,0,0,1.34,0,0
22Month,0.55,7.11,0.55,0,0,0,0.55,0,0,0.55
