stage,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,8.17,0
72hpf,1.07,1.07,1.07,0,3.21,0
21Day,0,0,0,2.68,1.34,1.34
