stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,4.28,0,0,1.07,0,0,0,0,0,0,0,0,6.42,19.26,0,2.14,0,0,0,7.49,4.28,0,0,0,2.14,2.14,0,0,2.14,0,0,0,0
21Day,5.35,1.34,1.34,54.88,0,1.34,2.68,1.34,0,0,0,5.35,0,1.34,26.77,2.68,16.06,4.02,6.69,0,1.34,2.68,10.71,6.69,0,0,0,8.03,2.68,2.68,2.68,5.35,16.06,0,0,0
3Month,0,0,0.32,4.16,0,0,0,0.32,0.32,0,0,5.44,0.96,0,1.6,0.32,1.6,1.6,1.28,0.96,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0.96,0.96
22Month,0,1.09,0.55,12.03,0.55,0,0,0,1.09,0.55,0,21.87,0.55,0,5.47,2.19,3.28,4.37,5.47,0,2.19,1.09,1.09,0,0.55,0.55,1.09,0,0,2.73,1.09,16.95,0,0.55,0,2.73
