stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
21Day,0,0,4.02,1.34,0,0,0,0,0,0,0,0,4.02,4.02,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,1.28,0,0,0,0.64,0,0,0.64,0.32,1.28,0,0,0.32,0,0,0.32,0,0,0.32,0,0,0.64,1.6
22Month,1.09,1.09,6.56,0,1.64,1.64,2.73,0.55,15.85,1.09,0,22.96,1.09,0.55,0.55,1.64,1.09,0,0.55,0.55,0,1.09,0.55,0,1.09
