stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,0,12.26,8.17,53.12,8.17,0,4.09
72hpf,1.07,0,0,0,0,0,0,2.14,3.21,7.49,5.35,1.07,1.07,0
21Day,0,1.34,8.03,1.34,1.34,2.68,1.34,1.34,4.02,4.02,1.34,0,1.34,2.68
