stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,40.86,0,0,0,0,0,28.6,0,0,0,0,8.17,77.64,44.95,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,20.33,0,0,0,0,1.07,0,0,0,0,0,5.35,104.84,0,2.14,0,5.35,5.35,2.14,2.14,0,0,0,0,0,0,0,0
21Day,0,1.34,396.21,9.37,0,4.02,0,9.37,0,2.68,0,8.03,0,26.77,335.97,26.77,4.02,0,14.72,5.35,1.34,2.68,5.35,1.34,1.34,4.02,2.68,0,0,0
3Month,0,0.32,40.63,0,0.64,0,2.56,8.32,0,4.8,1.6,0.64,0.96,1.28,15.04,15.04,1.6,0.32,0.32,0,0.32,0,1.6,0.96,0,0,0,0.96,0.96,0.32
22Month,0.55,0,8.75,0,0.55,0,0.55,18.59,0,7.65,0,0,1.09,0.55,2.73,3.83,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
