stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0,0,0,0,0,0,0,2.14,0
21Day,0,0,0,0,0,0,0,1.34,0,4.02
22Month,0.55,1.09,3.83,0.55,0.55,0.55,0.55,0,0,0.55
