stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,0,2.14,1.07,3.21,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0
3Month,0.32,0,0.32,0.32,0,2.56,0.96,0.64,0.64,0.32,0.32,0,0,1.28,0.32,0.64
22Month,0,0.55,0,0.55,0.55,6.56,0,0.55,0,0,0,0,0,0.55,0,0
