stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,36.78,0,0,0,0,32.69,335.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,4.28,4.28,2.14,0,0,0,0,0,0,3.21,1.07,3.21,12.84,0,21.4,0,1.07,0,0,283.49,114.47,1.07,0,5.35,3.21,0,5.35,0,2.14,0,0,0
21Day,5.35,0,24.09,2.68,10.71,12.05,0,0,0,5.35,0,12.05,1.34,1.34,6.69,9.37,9.37,0,0,4.02,0,100.39,64.25,1.34,0,9.37,8.03,0,4.02,0,2.68,0,0,4.02
3Month,0,0,7.36,0,0,0.64,1.92,1.6,0.32,8,1.28,0.32,5.76,0.64,1.6,2.88,2.24,0,0,0,0.64,1.28,0.32,0,0,0.32,0,5.12,0,0,0.32,0.64,0.32,0.64
22Month,0,2.73,4.37,0,0,0,0.55,4.92,2.19,22.41,1.64,2.19,9.29,0,0.55,2.19,3.28,1.09,2.73,0,0,2.19,0,0.55,0.55,0,0,2.19,0.55,1.64,0,0.55,0,1.09
