stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,28.6,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,54.56,1.07,0,0,0,0,13.91,1.07,3.21,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,24.09,5.35,1.34,0,0,2.68,1.34,0,1.34,0,1.34,33.46,12.05,2.68,0,0,0,0,2.68,4.02,0,0,0,0,1.34,4.02,0,0,0,0,0
3Month,0.64,1.6,41.91,83.51,0,2.24,0.32,51.83,1.6,0,21.76,6.4,0.64,392.58,94.07,4.8,3.84,5.76,0,21.76,152.94,0,0,15.36,0.64,0,0,1.92,5.44,0.96,1.6,2.24,3.84
22Month,0,1.09,25.15,30.61,0,0,0,24.05,2.73,0.55,18.59,1.09,0,255.29,7.65,0,2.73,2.19,0.55,12.03,7.65,0,0,4.92,0,1.09,0,0.55,0,0,0,0,0.55
