stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,93.99,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,5.35,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0,0.96,30.08,1.6,0.32,0.64,1.92,0,11.52,2.56,0.96,3.84,6.4,3.84,3.52,3.2,0.64,0.96,5.12,0,1.6,0.96,0.32,0.64,42.55,0,0.32,0.96,453.69,0.96
22Month,0,1.09,0,23.51,0,0,0,0.55,0.55,9.29,0,0.55,1.09,1.64,0.55,8.75,6.56,0,0,1.09,0,0.55,0,1.64,0,13.67,0,0.55,0,2.19,0
