stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,0,4.02,0,5.35,20.08,0,0,0,0,0,2.68,0,0,0
3Month,0,0.32,3.84,0.32,1.92,0.32,0.32,0.64,1.6,1.28,3.2,0.32,0,0,0,0,0.32,8.32,0.32,0,0.32,3.2,0.32
22Month,0,0,0,0,1.09,0,0,1.09,0,0,4.37,0,0,0,0.55,0,0,0.55,0,0,0,0,0
