stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,93.99,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,13.91,3.21,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,5.35,0,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0,1.34,1.34,1.34,0,0,0,0,0,2.68
3Month,0,4.48,5.12,63.67,0.96,1.28,0.32,51.19,2.88,0,98.86,3.52,3.84,181.73,3.2,17.92,5.76,33.91,9.6,0.32,42.87,7.68,4.48,0.32,3.84,1.92,0,0,1.28,22.72,2.24,0,0.32,2.56,3.2,12.16
22Month,0.55,2.19,1.09,9.84,0,0.55,1.64,12.57,1.09,3.28,20.77,0.55,2.73,55.76,0,1.09,6.01,1.09,0.55,1.64,4.92,0,1.64,0,1.09,0,0.55,0,0.55,9.84,6.01,2.19,0,0,0,22.41
