stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,1.07,0,0,0,0,0,0,0,4.28,0,0,0,0,5.35,4.28,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,4.02,0,4.02,4.02,0,0,0,0,1.34,0,0,1.34,2.68,0,0,2.68,1.34,1.34,0,0,0,0,0,0,1.34
3Month,0,0.32,0,2.88,0.64,0,0,0.32,0,2.88,0.32,0.32,2.24,2.56,0.64,0.32,0,0.32,0,0,0,0,0.32,1.6,0,1.6,0.64,0.96
22Month,0,0,0.55,0,0,0,0.55,0.55,0.55,13.67,0.55,0,1.64,0,0,0.55,1.09,0,0,0,0,0,0,0.55,0,0,0,0
