stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,0,6.42,0,0,0,0,0,0,0,0,1.07,3.21,1.07,5.35,3.21,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,5.35,0,0,0,4.02,0,0,8.03,2.68,0,2.68,1.34,1.34,0,0,2.68,0,1.34,0,0,0
3Month,0,0.32,0.64,0.32,0,0.32,1.6,2.24,0.64,0.32,2.24,0.64,0.96,0.64,0.32,0,0,0,0.32,0.64,0,0,5.44,0.32,0.32,1.6,0.96
22Month,0.55,0,0.55,0,0,0,27.33,3.83,0.55,0,0,0,0,4.37,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0
