stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,56.7,7.49,0,9.63,1.07,0,1.07,2.14,1.07,1.07,0,0,0
21Day,2.68,1.34,1.34,6.69,0,8.03,1.34,0,0,0,0,4.02,0,2.68,0,1.34,4.02,0,2.68,0,1.34,0,187.39,9.37,1.34,13.39,1.34,9.37,0,4.02,0,5.35,1.34,0,2.68
3Month,0,0,0,3.2,0.32,0,0,0,0,0.96,0,2.88,0.64,0,1.28,0.64,0.64,0.96,1.92,0.32,0.32,0,4.48,0,0.32,1.6,0,0.64,10.24,1.92,0,0,0,0.64,0
22Month,0,0,0.55,1.09,0,0,0,0.55,0.55,0,1.09,18.04,1.09,0,2.73,0,0,1.09,1.09,0,0,0.55,7.11,0,0,0.55,0,0,21.32,3.28,0,0,0.55,0,1.09
