stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,2.14,1.07,1.07,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,0,1.34,0,5.35,1.34,0,0,0,0
3Month,0,0,0,0.32,0,0.64,0.32,0.32,0.32,0,0.32,0,0,0,0.96,0,0
22Month,0,0.55,0,0,0.55,3.83,0.55,0,0,0,0,0,0,0,0,0.55,0.55
