stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia
24hpf,8.17,0,0,0,8.17,4.09,0,0
72hpf,0,0,0,0,0,1.07,0,0
21Day,5.35,1.34,1.34,0,4.02,0,0,1.34
3Month,0.32,0.32,0,0.32,0,0,0,0
22Month,0.55,0,0,0,0,0,0.55,0
