stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,0,0
72hpf,12.84,0,0,0,0,0,0,0,0,0,2.14,2.14,0,2.14,0,1.07,0,0,0
21Day,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.96,0.32,0,0.32,0,0.32,0.32,0,0,0,0.32,0,2.24,0,0.32,1.6,0.96
22Month,0,0,0,0,1.09,1.09,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0
