stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,1.07,0,0,0,0,0,0,0,0,5.35,2.14,0,1.07,0,0,0,7.49,3.21,0,0,3.21,0,0,1.07,0,0,0,0,0
21Day,4.02,0,2.68,9.37,0,0,2.68,0,2.68,2.68,0,2.68,13.39,1.34,2.68,2.68,9.37,0,4.02,0,6.69,1.34,0,0,1.34,0,0,0,1.34,0,0,0,6.69
3Month,1.28,0.96,0.96,7.04,0,0,0,0.96,2.88,64.31,10.24,1.6,34.55,4.48,0.96,2.24,3.2,0,3.2,8.32,0.32,0,3.2,0.32,0,1.28,1.6,0.96,0,0.32,0.64,0.32,37.75
22Month,1.64,1.09,0.55,3.28,0,0.55,0,1.09,1.64,49.75,1.64,0.55,24.05,0.55,0,2.73,0,1.09,0.55,0.55,0,0,3.83,0,0,1.09,1.09,3.28,0,0,0,0,9.84
