stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,8.17,8.17,0,0,0,44.95,0
72hpf,1.07,1.07,0,0,0,0,0,2.14,0,0,7.49,2.14,0
21Day,2.68,0,1.34,0,0,0,0,1.34,0,0,2.68,0,1.34
3Month,0.32,0,0,3.52,0.32,0.32,0,0.32,0,0.32,0,0,0
22Month,1.09,0,0,12.03,0.55,1.09,0,0.55,0.55,0,0,0,0
